Date,Day,Month,Time,Source Key,City,State,Temperature (?C),Humidity (%),Power Generated (kW),Equivalent Current (A),Consumption (kW),Energy Loss (%),Demand (kW),Revenue ($),Maintenance Cost ($),Profit ($),Panel Efficiency (%)
25,Saturday,9,2:00,15,Chennai,Tamil Nadu,32.22,76.19,0,0,0,4.38,0,0,0,0,0
25,Saturday,9,3:00,16,Chennai,Tamil Nadu,30.5,66.66,0,0,0,5.89,0,0,0,0,0
25,Saturday,9,4:00,17,Chennai,Tamil Nadu,27.65,66.75,0,0,0,8.96,0,0,0,0,0
25,Saturday,9,5:00,18,Chennai,Tamil Nadu,29.94,67.75,0,0,0,2.65,0,0,0,0,0
25,Saturday,9,6:00,19,Chennai,Tamil Nadu,32.91,55.13,0,0,0,3.85,0,0,0,0,0
25,Saturday,9,7:00,20,Chennai,Tamil Nadu,34.91,53.49,0,0,0,4,0,0,0,0,0
25,Saturday,9,8:00,21,Chennai,Tamil Nadu,37.26,61.91,192.37,22.77,103.37,6.58,191.93,152.85,49.78,103.07,15.92
25,Saturday,9,9:00,22,Chennai,Tamil Nadu,30.82,59.41,197.04,35.69,42.13,9.34,215.08,129.68,62.35,67.33,23.42
25,Saturday,9,10:00,23,Chennai,Tamil Nadu,36.31,64.5,198.74,30.6,28.15,2.26,210.83,126.58,74.7,51.88,21.57
25,Saturday,9,11:00,24,Chennai,Tamil Nadu,38.81,58.05,193.1,21.8,145.55,4.94,210.36,146.73,69.51,77.22,15.15
25,Saturday,9,12:00,25,Chennai,Tamil Nadu,38.59,40.01,190.03,23.42,48.95,6.03,183.57,132.95,67.62,65.33,23.66
25,Saturday,9,13:00,26,Chennai,Tamil Nadu,36.76,63.09,189.56,33.76,23.56,7.83,185.56,127.49,59.05,68.44,19.12
25,Saturday,9,14:00,27,Chennai,Tamil Nadu,36.22,66.14,196.42,28.51,160.39,2.85,180.95,151.26,54.18,97.08,18.5
25,Saturday,9,15:00,28,Chennai,Tamil Nadu,37.19,69.56,194.64,49.44,193.45,2.54,221.59,135.18,42.21,92.97,22.76
25,Saturday,9,16:00,29,Chennai,Tamil Nadu,37.94,56.96,192.31,28.16,24.84,6.69,218.24,150.37,50.39,99.98,15.51
25,Saturday,9,17:00,30,Chennai,Tamil Nadu,36.4,40.93,188.01,45,177.68,4.08,190.78,132.53,53.29,79.24,24.98
25,Saturday,9,18:00,31,Chennai,Tamil Nadu,29.66,83.2,0,0,0,8.2,0,0,0,0,0
25,Saturday,9,19:00,32,Chennai,Tamil Nadu,29.23,77.2,0,0,0,6.46,0,0,0,0,0
25,Saturday,9,20:00,33,Chennai,Tamil Nadu,27.18,68.26,0,0,0,7.19,0,0,0,0,0
25,Saturday,9,21:00,34,Chennai,Tamil Nadu,27.24,85.89,0,0,0,9.98,0,0,0,0,0
25,Saturday,9,22:00,35,Chennai,Tamil Nadu,26.74,73.32,0,0,0,7.16,0,0,0,0,0
25,Saturday,9,23:00,36,Chennai,Tamil Nadu,27.01,66.84,0,0,0,6.14,0,0,0,0,0
26,Sunday,9,0:00,37,Chennai,Tamil Nadu,29.99,84.18,0,0,0,4.28,0,0,0,0,0
26,Sunday,9,1:00,38,Chennai,Tamil Nadu,34.58,67.41,0,0,0,9.83,0,0,0,0,0
26,Sunday,9,2:00,39,Chennai,Tamil Nadu,28.44,75.28,0,0,0,8.66,0,0,0,0,0
26,Sunday,9,3:00,40,Chennai,Tamil Nadu,36.19,87.91,0,0,0,8.02,0,0,0,0,0
26,Sunday,9,4:00,41,Chennai,Tamil Nadu,25.46,88.38,0,0,0,4.81,0,0,0,0,0
26,Sunday,9,5:00,42,Chennai,Tamil Nadu,26.04,69.85,0,0,0,8.23,0,0,0,0,0
26,Sunday,9,6:00,43,Chennai,Tamil Nadu,33.44,66.77,0,0,0,8.41,0,0,0,0,0
26,Sunday,9,7:00,44,Chennai,Tamil Nadu,35.48,40.14,0,0,0,9.13,0,0,0,0,0
26,Sunday,9,8:00,45,Chennai,Tamil Nadu,31.52,46.22,186.88,34.16,153.08,7.37,208.68,150.69,51.57,99.12,22.54
26,Sunday,9,9:00,46,Chennai,Tamil Nadu,33.96,66.19,186.1,28.19,99.76,3.37,206.63,125.66,46.56,79.1,23.4
26,Sunday,9,10:00,47,Chennai,Tamil Nadu,36.05,47.11,195.06,47.91,193.67,9.97,209.67,128.22,57.45,70.77,22.2
26,Sunday,9,11:00,48,Chennai,Tamil Nadu,36.31,63.51,202.63,36.18,13.99,5.46,207.38,134.28,75.42,58.86,13.89
26,Sunday,9,12:00,49,Chennai,Tamil Nadu,34.79,41.58,204.98,46.56,79.59,4.79,204.12,124.31,73.67,50.64,15.24
26,Sunday,9,13:00,50,Chennai,Tamil Nadu,36.84,59.66,201.34,25.82,138.18,7.57,198.15,139.14,56.82,82.32,24.17
26,Sunday,9,14:00,51,Chennai,Tamil Nadu,37.3,52.15,204.92,25.07,57.74,3.27,187.01,138.42,43.85,94.57,24.09
26,Sunday,9,15:00,52,Chennai,Tamil Nadu,36.41,40.49,195.22,28.36,128.44,5.58,200.26,121.55,58.45,63.1,18.24
26,Sunday,9,16:00,53,Chennai,Tamil Nadu,37.57,43.98,201.43,33.32,134.2,8.18,207.77,123.53,41.91,81.62,13.78
26,Sunday,9,17:00,54,Chennai,Tamil Nadu,36.66,63.76,185.64,23.32,5.55,2.66,202.34,122.77,49.86,72.91,23.12
26,Sunday,9,18:00,55,Chennai,Tamil Nadu,27.38,61.66,0,0,0,7.72,0,0,0,0,0
26,Sunday,9,19:00,56,Chennai,Tamil Nadu,28.86,83.69,0,0,0,2.25,0,0,0,0,0
26,Sunday,9,20:00,57,Chennai,Tamil Nadu,27.71,85.32,0,0,0,3.55,0,0,0,0,0
26,Sunday,9,21:00,58,Chennai,Tamil Nadu,27.54,64.33,0,0,0,3.66,0,0,0,0,0
26,Sunday,9,22:00,59,Chennai,Tamil Nadu,26.71,72.18,0,0,0,4.33,0,0,0,0,0
26,Sunday,9,23:00,60,Chennai,Tamil Nadu,25.56,81.13,0,0,0,3.94,0,0,0,0,0
27,Monday,9,0:00,61,Chennai,Tamil Nadu,35.91,80.71,0,0,0,6.76,0,0,0,0,0
27,Monday,9,1:00,62,Chennai,Tamil Nadu,36.15,87.97,0,0,0,8.76,0,0,0,0,0
27,Monday,9,2:00,63,Chennai,Tamil Nadu,35.55,61.72,0,0,0,4.17,0,0,0,0,0
27,Monday,9,3:00,64,Chennai,Tamil Nadu,35.34,81.57,0,0,0,5.93,0,0,0,0,0
27,Monday,9,4:00,65,Chennai,Tamil Nadu,29.65,76.28,0,0,0,9.95,0,0,0,0,0
27,Monday,9,5:00,66,Chennai,Tamil Nadu,35.62,68.49,0,0,0,2.79,0,0,0,0,0
27,Monday,9,6:00,67,Chennai,Tamil Nadu,37.91,53.37,0,0,0,8.43,0,0,0,0,0
27,Monday,9,7:00,68,Chennai,Tamil Nadu,32.85,60.5,0,0,0,2.99,0,0,0,0,0
27,Monday,9,8:00,69,Chennai,Tamil Nadu,34.16,63.67,194.86,21.52,57.62,8.94,215.5,136.38,65.76,70.62,23.53
27,Monday,9,9:00,70,Chennai,Tamil Nadu,32.31,43.53,190.32,35.06,129.46,8.83,186.91,142.98,43.08,99.9,23.46
27,Monday,9,10:00,71,Chennai,Tamil Nadu,31.93,68.72,189.36,23.51,4.64,3.17,207.94,128.37,79.66,48.71,17.9
27,Monday,9,11:00,72,Chennai,Tamil Nadu,39.73,64.57,190.34,45.42,25.61,8.79,197.67,122.81,56.43,66.38,22.13
27,Monday,9,12:00,73,Chennai,Tamil Nadu,36.57,46.04,199,32.01,123.71,4.98,191.8,133.32,63.29,70.03,22.98
27,Monday,9,13:00,74,Chennai,Tamil Nadu,34.34,43.7,190.45,28.75,47.33,8.02,205.65,142.97,48.23,94.74,13.12
27,Monday,9,14:00,75,Chennai,Tamil Nadu,36.96,53.4,194.56,24.18,132.93,5.66,195.83,142.89,43.11,99.78,22.61
27,Monday,9,15:00,76,Chennai,Tamil Nadu,39.71,57.89,193.74,25.14,79.31,7.15,220.15,147.4,43.88,103.52,19.78
27,Monday,9,16:00,77,Chennai,Tamil Nadu,36.04,47.93,197.39,31.13,180.4,9.34,182.65,136.57,41.37,95.2,24.65
27,Monday,9,17:00,78,Chennai,Tamil Nadu,37.21,64.88,193.28,25.71,141.13,5.05,222.13,154.48,43.09,111.39,22.68
27,Monday,9,18:00,79,Chennai,Tamil Nadu,27.46,74.9,0,0,0,8.42,0,0,0,0,0
27,Monday,9,19:00,80,Chennai,Tamil Nadu,25.19,71.96,0,0,0,4.12,0,0,0,0,0
27,Monday,9,20:00,81,Chennai,Tamil Nadu,26.1,83.56,0,0,0,8.65,0,0,0,0,0
27,Monday,9,21:00,82,Chennai,Tamil Nadu,27.07,79.61,0,0,0,4.74,0,0,0,0,0
27,Monday,9,22:00,83,Chennai,Tamil Nadu,25.35,80.43,0,0,0,4.7,0,0,0,0,0
27,Monday,9,23:00,84,Chennai,Tamil Nadu,25.45,86.28,0,0,0,5,0,0,0,0,0
28,Tuesday,9,0:00,85,Chennai,Tamil Nadu,33.37,69,0,0,0,9.55,0,0,0,0,0
28,Tuesday,9,1:00,86,Chennai,Tamil Nadu,35.41,83.94,0,0,0,9.74,0,0,0,0,0
28,Tuesday,9,2:00,87,Chennai,Tamil Nadu,25.72,76.07,0,0,0,3.31,0,0,0,0,0
28,Tuesday,9,3:00,88,Chennai,Tamil Nadu,31.99,66.73,0,0,0,7.71,0,0,0,0,0
28,Tuesday,9,4:00,89,Chennai,Tamil Nadu,27.67,88.74,0,0,0,3.37,0,0,0,0,0
28,Tuesday,9,5:00,90,Chennai,Tamil Nadu,27.48,79.6,0,0,0,8.43,0,0,0,0,0
28,Tuesday,9,6:00,91,Chennai,Tamil Nadu,37.94,52.94,0,0,0,6.05,0,0,0,0,0
28,Tuesday,9,7:00,92,Chennai,Tamil Nadu,38.55,45.06,0,0,0,8.53,0,0,0,0,0
28,Tuesday,9,8:00,93,Chennai,Tamil Nadu,34,50.03,185.71,32.9,11.37,4.66,217.6,134.83,51.31,83.52,23.86
28,Tuesday,9,9:00,94,Chennai,Tamil Nadu,36.99,52.03,188,35.46,173.67,4.37,201.14,143.34,77.63,65.71,16.76
28,Tuesday,9,10:00,95,Chennai,Tamil Nadu,31.09,40.05,204.57,20.88,3.23,2,211.54,138.81,67.31,71.5,13.97
28,Tuesday,9,11:00,96,Chennai,Tamil Nadu,32.46,61.3,204.95,40.72,142.28,7.38,198.25,154.98,46.17,108.81,20.88
28,Tuesday,9,12:00,97,Chennai,Tamil Nadu,33.94,49.74,185.39,27.53,184.94,3.08,180.96,130.3,61.52,68.78,21.52
28,Tuesday,9,13:00,98,Chennai,Tamil Nadu,38.19,60.69,197.44,24.71,55.02,7.76,192.86,133.24,72.74,60.5,17.62
28,Tuesday,9,14:00,99,Chennai,Tamil Nadu,39.22,43.09,197,49.31,122.58,7.31,197.09,124.99,78.12,46.87,13.95
28,Tuesday,9,15:00,100,Chennai,Tamil Nadu,38.42,61.29,202.71,20.97,156.89,6.31,204.54,148.04,78.27,69.77,17.99
28,Tuesday,9,16:00,101,Chennai,Tamil Nadu,38.9,52.7,188.63,41.03,125.83,5.52,212.71,144.34,44.5,99.84,14.56
28,Tuesday,9,17:00,102,Chennai,Tamil Nadu,39.08,55.25,196.21,27.98,71.89,7.03,193.38,131.59,54.07,77.52,21.35
28,Tuesday,9,18:00,103,Chennai,Tamil Nadu,28.27,78.18,0,0,0,8.8,0,0,0,0,0
28,Tuesday,9,19:00,104,Chennai,Tamil Nadu,26.9,68.52,0,0,0,5.58,0,0,0,0,0
28,Tuesday,9,20:00,105,Chennai,Tamil Nadu,27.38,61.33,0,0,0,9.66,0,0,0,0,0
28,Tuesday,9,21:00,106,Chennai,Tamil Nadu,25.79,61.03,0,0,0,8.57,0,0,0,0,0
28,Tuesday,9,22:00,107,Chennai,Tamil Nadu,26.34,87.04,0,0,0,5.52,0,0,0,0,0
28,Tuesday,9,23:00,108,Chennai,Tamil Nadu,25.67,81.88,0,0,0,3.15,0,0,0,0,0
29,Wednesday,9,0:00,109,Chennai,Tamil Nadu,25.96,64.32,0,0,0,9.53,0,0,0,0,0
29,Wednesday,9,1:00,110,Chennai,Tamil Nadu,35.67,81.34,0,0,0,7.21,0,0,0,0,0
29,Wednesday,9,2:00,111,Chennai,Tamil Nadu,27.21,72.77,0,0,0,2.69,0,0,0,0,0
29,Wednesday,9,3:00,112,Chennai,Tamil Nadu,29.93,80.26,0,0,0,8.1,0,0,0,0,0
29,Wednesday,9,4:00,113,Chennai,Tamil Nadu,25.06,80.56,0,0,0,6.34,0,0,0,0,0
29,Wednesday,9,5:00,114,Chennai,Tamil Nadu,31.22,82.9,0,0,0,5,0,0,0,0,0
29,Wednesday,9,6:00,115,Chennai,Tamil Nadu,30.47,67.46,0,0,0,7.53,0,0,0,0,0
29,Wednesday,9,7:00,116,Chennai,Tamil Nadu,37.34,52.13,0,0,0,3.36,0,0,0,0,0
29,Wednesday,9,8:00,117,Chennai,Tamil Nadu,31.52,68.02,201.26,29.21,139.13,2.38,220.47,149.25,65,84.25,24.12
29,Wednesday,9,9:00,118,Chennai,Tamil Nadu,35.41,63.41,192.67,41.35,179.51,5.4,197.12,137.16,78.31,58.85,18.93
29,Wednesday,9,10:00,119,Chennai,Tamil Nadu,37.51,69.65,192.71,47.62,153.85,7.2,185.61,136.65,44.73,91.92,19.82
29,Wednesday,9,11:00,120,Chennai,Tamil Nadu,37.04,44.91,199.75,26.79,132.92,4.6,220.76,120.3,49.85,70.45,16.01
29,Wednesday,9,12:00,121,Chennai,Tamil Nadu,36.86,44.01,186.91,40.73,89.67,2.82,189.48,129.22,74.41,54.81,13.07
29,Wednesday,9,13:00,122,Chennai,Tamil Nadu,38.18,49.67,192.93,46.87,153.45,3.8,199.76,126.07,77.13,48.94,22.9
29,Wednesday,9,14:00,123,Chennai,Tamil Nadu,38.92,40.38,199.55,24.16,126.34,8.49,185.65,143.81,64.88,78.93,15.52
29,Wednesday,9,15:00,124,Chennai,Tamil Nadu,36.13,44.38,192.91,38.34,153.78,2.57,212.82,123.35,68.42,54.93,17.27
29,Wednesday,9,16:00,125,Chennai,Tamil Nadu,38.39,63.44,201.5,25.53,66.47,5.02,186.03,142.37,75.9,66.47,20.52
29,Wednesday,9,17:00,126,Chennai,Tamil Nadu,37.07,44.38,187.23,21.84,82.09,5.99,198.3,123.95,58.1,65.85,18.55
29,Wednesday,9,18:00,127,Chennai,Tamil Nadu,25.91,87.09,0,0,0,5.95,0,0,0,0,0
29,Wednesday,9,19:00,128,Chennai,Tamil Nadu,26.07,80.07,0,0,0,9.98,0,0,0,0,0
29,Wednesday,9,20:00,129,Chennai,Tamil Nadu,28.89,88.59,0,0,0,5.82,0,0,0,0,0
29,Wednesday,9,21:00,130,Chennai,Tamil Nadu,25.12,89.35,0,0,0,2.14,0,0,0,0,0
29,Wednesday,9,22:00,131,Chennai,Tamil Nadu,25.01,81.33,0,0,0,2.44,0,0,0,0,0
29,Wednesday,9,23:00,132,Chennai,Tamil Nadu,27.06,70.29,0,0,0,4.31,0,0,0,0,0
30,Thursday,9,0:00,133,Chennai,Tamil Nadu,38.08,68.87,0,0,0,9.86,0,0,0,0,0
30,Thursday,9,1:00,134,Chennai,Tamil Nadu,26.16,64.62,0,0,0,6.02,0,0,0,0,0
30,Thursday,9,2:00,135,Chennai,Tamil Nadu,26.84,84.44,0,0,0,2.53,0,0,0,0,0
30,Thursday,9,3:00,136,Chennai,Tamil Nadu,30.56,65.78,0,0,0,2.49,0,0,0,0,0
30,Thursday,9,4:00,137,Chennai,Tamil Nadu,31.02,79.11,0,0,0,2.9,0,0,0,0,0
30,Thursday,9,5:00,138,Chennai,Tamil Nadu,25.77,60.32,0,0,0,8.47,0,0,0,0,0
30,Thursday,9,6:00,139,Chennai,Tamil Nadu,39.92,68.57,0,0,0,5.43,0,0,0,0,0
30,Thursday,9,7:00,140,Chennai,Tamil Nadu,29.71,56.12,0,0,0,9.79,0,0,0,0,0
30,Thursday,9,8:00,141,Chennai,Tamil Nadu,37.84,43.95,194.79,48.68,0.79,3.86,184.53,120.84,76.6,44.24,13.53
30,Thursday,9,9:00,142,Chennai,Tamil Nadu,34.32,59.65,192.47,24.96,65.42,4.53,215.79,129.05,48.13,80.92,23.28
30,Thursday,9,10:00,143,Chennai,Tamil Nadu,38.97,57.08,194.21,22.55,31.71,3.84,182.52,131.51,56.32,75.19,21.14
30,Thursday,9,11:00,144,Chennai,Tamil Nadu,36.13,42.36,195.92,45.98,59.51,3.06,220.92,134.49,41.17,93.32,16.21
30,Thursday,9,12:00,145,Chennai,Tamil Nadu,37.47,62.38,190.49,23.2,165.78,4.73,212.3,130.98,72.69,58.29,20.81
30,Thursday,9,13:00,146,Chennai,Tamil Nadu,34.09,43.46,190.36,36.4,80.41,5.64,223.86,133.42,70.99,62.43,18.66
30,Thursday,9,14:00,147,Chennai,Tamil Nadu,38.9,55.6,204.33,47.55,173.2,3.71,216.96,152.67,67.59,85.08,13.37
30,Thursday,9,15:00,148,Chennai,Tamil Nadu,39.31,61.71,202.42,48.27,14.56,6.91,201.33,139.27,71.6,67.67,14.06
30,Thursday,9,16:00,149,Chennai,Tamil Nadu,36.44,63.1,190.21,39.41,63.41,3.24,195.19,144.1,56.25,87.85,13.45
30,Thursday,9,17:00,150,Chennai,Tamil Nadu,38.37,58.14,187.09,22.74,81.82,8.37,201.59,147.14,42.21,104.93,17.89
30,Thursday,9,18:00,151,Chennai,Tamil Nadu,27.5,73.46,0,0,0,9.74,0,0,0,0,0
30,Thursday,9,19:00,152,Chennai,Tamil Nadu,28.82,87.79,0,0,0,8.6,0,0,0,0,0
30,Thursday,9,20:00,153,Chennai,Tamil Nadu,28.07,86.37,0,0,0,9.02,0,0,0,0,0
30,Thursday,9,21:00,154,Chennai,Tamil Nadu,26.2,65.26,0,0,0,5.45,0,0,0,0,0
30,Thursday,9,22:00,155,Chennai,Tamil Nadu,25.24,89.04,0,0,0,3.56,0,0,0,0,0
30,Thursday,9,23:00,156,Chennai,Tamil Nadu,26.7,81.76,0,0,0,6.12,0,0,0,0,0
1,Friday,10,0:00,157,Chennai,Tamil Nadu,38.55,79.85,0,0,0,5.3,0,0,0,0,0
1,Friday,10,1:00,158,Chennai,Tamil Nadu,27.68,73.53,0,0,0,5.61,0,0,0,0,0
1,Friday,10,2:00,159,Chennai,Tamil Nadu,30.71,66.73,0,0,0,7.35,0,0,0,0,0
1,Friday,10,3:00,160,Chennai,Tamil Nadu,31.72,81.46,0,0,0,7.9,0,0,0,0,0
1,Friday,10,4:00,161,Chennai,Tamil Nadu,36.13,76.87,0,0,0,5.35,0,0,0,0,0
1,Friday,10,5:00,162,Chennai,Tamil Nadu,26.82,79.7,0,0,0,7.59,0,0,0,0,0
1,Friday,10,6:00,163,Chennai,Tamil Nadu,37.88,69.85,0,0,0,3.62,0,0,0,0,0
1,Friday,10,7:00,164,Chennai,Tamil Nadu,33.66,61.57,0,0,0,3.3,0,0,0,0,0
1,Friday,10,8:00,165,Chennai,Tamil Nadu,35.69,52.52,190.13,45.71,37.01,8.4,185.44,154.95,43.55,111.4,23.44
1,Friday,10,9:00,166,Chennai,Tamil Nadu,39.68,47.38,197.79,47.61,36.9,4.75,181.81,125.11,73,52.11,24.46
1,Friday,10,10:00,167,Chennai,Tamil Nadu,32.03,61.12,191.05,39.72,163.42,3.92,200.87,121.19,65.04,56.15,20.47
1,Friday,10,11:00,168,Chennai,Tamil Nadu,34.5,45.49,196.36,39.43,153.79,9.04,193.19,129.79,79.59,50.2,14.73
1,Friday,10,12:00,169,Mumbai,Maharashtra,34.32,69.44,193.12,22.38,21.18,3.19,209.88,143.79,69.95,73.84,23.89
1,Friday,10,13:00,170,Mumbai,Maharashtra,35.43,55.96,199.41,39.01,140.5,8.8,206.08,129.32,70.56,58.76,24.82
1,Friday,10,14:00,171,Mumbai,Maharashtra,38.44,43.28,201.77,33.16,14.55,7.41,189.42,136.7,41.74,94.96,14.43
1,Friday,10,15:00,172,Mumbai,Maharashtra,34.97,56.7,187.75,49.27,82.6,6.8,200.41,128.02,49.21,78.81,14.47
1,Friday,10,16:00,173,Mumbai,Maharashtra,37.23,65.62,187.89,25.12,187.52,4.15,217.86,148.26,46.59,101.67,20.66
1,Friday,10,17:00,174,Mumbai,Maharashtra,39.62,57.17,203.03,29,61.4,6.13,191.79,120.62,66.57,54.05,22.14
1,Friday,10,18:00,175,Mumbai,Maharashtra,28.63,73.78,0,0,0,7.29,0,0,0,0,0
1,Friday,10,19:00,176,Mumbai,Maharashtra,26.9,61.72,0,0,0,8.55,0,0,0,0,0
1,Friday,10,20:00,177,Mumbai,Maharashtra,28.35,86.41,0,0,0,2.34,0,0,0,0,0
1,Friday,10,21:00,178,Mumbai,Maharashtra,25.13,64.98,0,0,0,4.8,0,0,0,0,0
1,Friday,10,22:00,179,Mumbai,Maharashtra,25.08,69.25,0,0,0,3.81,0,0,0,0,0
1,Friday,10,23:00,180,Mumbai,Maharashtra,26.75,84.41,0,0,0,8.65,0,0,0,0,0
2,Saturday,10,0:00,181,Mumbai,Maharashtra,30.12,89.49,0,0,0,8.48,0,0,0,0,0
2,Saturday,10,1:00,182,Mumbai,Maharashtra,28.9,63.27,0,0,0,2.67,0,0,0,0,0
2,Saturday,10,2:00,183,Mumbai,Maharashtra,37.58,67.46,0,0,0,5.05,0,0,0,0,0
2,Saturday,10,3:00,184,Mumbai,Maharashtra,34.75,60.96,0,0,0,2.99,0,0,0,0,0
2,Saturday,10,4:00,185,Mumbai,Maharashtra,25.92,63.31,0,0,0,3.73,0,0,0,0,0
2,Saturday,10,5:00,186,Mumbai,Maharashtra,33.8,60.75,0,0,0,7,0,0,0,0,0
2,Saturday,10,6:00,187,Mumbai,Maharashtra,31.52,64.13,0,0,0,3.42,0,0,0,0,0
2,Saturday,10,7:00,188,Mumbai,Maharashtra,30.73,56.81,0,0,0,5.33,0,0,0,0,0
2,Saturday,10,8:00,189,Mumbai,Maharashtra,31.79,58.89,200.01,48.71,57.34,9.6,196.56,122.82,63.94,58.88,22.94
2,Saturday,10,9:00,190,Mumbai,Maharashtra,38.61,62.54,187.55,38.78,93.63,8.52,182.24,143.43,67.25,76.18,13.8
2,Saturday,10,10:00,191,Mumbai,Maharashtra,38.05,45.55,195.69,38.29,55.76,9.38,182.37,124.17,54.09,70.08,15.23
2,Saturday,10,11:00,192,Mumbai,Maharashtra,38.91,69.85,201.53,40.23,85.68,8.43,220.73,147.32,79.66,67.66,21.04
2,Saturday,10,12:00,193,Mumbai,Maharashtra,33.54,51.29,198.44,45.29,113.62,5.56,213.43,125.56,47.29,78.27,19.99
2,Saturday,10,13:00,194,Mumbai,Maharashtra,33.58,63.7,194.47,32.15,35.9,7.03,185.38,148.29,72.9,75.39,17.33
2,Saturday,10,14:00,195,Mumbai,Maharashtra,37.07,61.99,196.4,21.4,103.5,4.55,191.08,125.36,57.86,67.5,21.1
2,Saturday,10,15:00,196,Mumbai,Maharashtra,39.84,65.46,190.68,40.79,85.99,4.43,207.6,145.49,68.85,76.64,16.27
2,Saturday,10,16:00,197,Mumbai,Maharashtra,39.45,56.02,201.37,43.13,174.13,6.1,185.75,138.75,54.23,84.52,17.15
2,Saturday,10,17:00,198,Mumbai,Maharashtra,38.94,53.66,203,42.68,174.9,8.15,181.69,136.16,42.64,93.52,14.95
2,Saturday,10,18:00,199,Mumbai,Maharashtra,28.08,88.22,0,0,0,9.36,0,0,0,0,0
2,Saturday,10,19:00,200,Mumbai,Maharashtra,28.57,64.64,0,0,0,8.99,0,0,0,0,0
2,Saturday,10,20:00,201,Mumbai,Maharashtra,25.51,79.54,0,0,0,6.11,0,0,0,0,0
2,Saturday,10,21:00,202,Mumbai,Maharashtra,26.56,85.76,0,0,0,8.93,0,0,0,0,0
2,Saturday,10,22:00,203,Mumbai,Maharashtra,25.3,79.78,0,0,0,6.03,0,0,0,0,0
2,Saturday,10,23:00,204,Mumbai,Maharashtra,26.72,64.88,0,0,0,4.33,0,0,0,0,0
3,Sunday,10,0:00,205,Mumbai,Maharashtra,32.95,89.99,0,0,0,3.5,0,0,0,0,0
3,Sunday,10,1:00,206,Mumbai,Maharashtra,27.07,77.81,0,0,0,3.53,0,0,0,0,0
3,Sunday,10,2:00,207,Mumbai,Maharashtra,29.19,76.12,0,0,0,3.81,0,0,0,0,0
3,Sunday,10,3:00,208,Mumbai,Maharashtra,27.84,68.78,0,0,0,6.04,0,0,0,0,0
3,Sunday,10,4:00,209,Mumbai,Maharashtra,25.57,65.49,0,0,0,8.41,0,0,0,0,0
3,Sunday,10,5:00,210,Mumbai,Maharashtra,29.37,74.66,0,0,0,3.55,0,0,0,0,0
3,Sunday,10,6:00,211,Mumbai,Maharashtra,32.56,56.99,0,0,0,9.24,0,0,0,0,0
3,Sunday,10,7:00,212,Mumbai,Maharashtra,33.92,66.41,0,0,0,8.87,0,0,0,0,0
3,Sunday,10,8:00,213,Mumbai,Maharashtra,39.42,47.72,186.14,42.78,98.07,6.14,217.91,134.2,43.27,90.93,23.51
3,Sunday,10,9:00,214,Mumbai,Maharashtra,33.13,55.81,204.42,48.26,162.18,4.92,199.64,143.28,70.8,72.48,24.9
3,Sunday,10,10:00,215,Mumbai,Maharashtra,31.82,41.04,192.97,38.72,86.61,7.13,201.37,150.22,54.51,95.71,20.69
3,Sunday,10,11:00,216,Mumbai,Maharashtra,32.6,46.68,194.65,25.58,189.92,5.49,193.65,148.34,56.98,91.36,16.36
3,Sunday,10,12:00,217,Mumbai,Maharashtra,36.68,61.89,188.29,47.47,26.36,7.01,212.69,147.66,51.49,96.17,22.52
